created_at,entry_id,voltage,current_cold,current_hot,temp_cold,temp_hot,time_sec
2024-09-01 10:00:00,1,4,0.768,0.715,7.0,44.1,0
2024-09-01 10:00:15,2,4,0.952,0.709,7.6,50.6,15
2024-09-01 10:00:30,3,5,0.951,0.703,7.5,51.5,30
2024-09-01 10:00:45,4,5,0.952,0.703,6.9,53.4,45
2024-09-01 10:01:00,5,5,0.951,0.709,6.0,52.9,60
2024-09-01 10:01:15,6,5,0.952,0.709,5.1,52.2,75
2024-09-01 10:01:30,7,5,0.952,0.703,5.8,52.4,90
2024-09-01 10:01:45,8,5,0.952,0.703,6.3,52.6,105
2024-09-01 10:02:00,9,5,0.952,0.703,6.5,53.3,120
2024-09-01 10:02:15,10,5,0.952,0.702,4.5,53.5,135
2024-09-01 10:02:30,11,5,0.952,0.697,4.3,53.6,150
2024-09-01 10:02:45,12,5,0.954,0.697,4.2,53.4,165
2024-09-01 10:03:00,13,5,0.952,0.701,4.8,53.4,180
2024-09-01 10:03:15,14,5,0.952,0.703,4.9,54.0,195
2024-09-01 10:03:30,15,5,0.952,0.702,4.9,54.5,210
2024-09-01 10:03:45,16,5,0.952,0.703,5.3,53.7,225
2024-09-01 10:04:00,17,5,0.952,0.702,4.9,54.5,240
